Año;Ramas de actividad;Tamaño de la empresa;Tipo de indicador;Total
2014;TOTAL EMPRESAS;Menos de 250 empleados;Introducción de innovaciones en el mercado;3.49
2014;TOTAL EMPRESAS;250 y más empleados;Introducción de innovaciones en el mercado;3.52
2014;TOTAL EMPRESAS;Total;Introducción de innovaciones en el mercado;3.51
2014;TOTAL EMPRESAS;Menos de 250 empleados;Diseño, otros preparativos para producción y/o distribución;2.66
2014;TOTAL EMPRESAS;250 y más empleados;Diseño, otros preparativos para producción y/o distribución;4.95
2014;TOTAL EMPRESAS;Total;Diseño, otros preparativos para producción y/o distribución;4.16
2014;TOTAL INDUSTRIA;Menos de 250 empleados;Gastos totales (miles de euros);1940151
2014;TOTAL INDUSTRIA;250 y más empleados;Gastos totales (miles de euros);4348536
2014;TOTAL INDUSTRIA;Total;Gastos totales (miles de euros);6288687
2014;TOTAL INDUSTRIA;Menos de 250 empleados;I+D interna;54.35
2014;TOTAL INDUSTRIA;250 y más empleados;I+D interna;49.48
2014;TOTAL INDUSTRIA;Total;I+D interna;50.99
2014;TOTAL INDUSTRIA;Menos de 250 empleados;Adquisición de  I+D (I+D externa);12.71
2014;TOTAL INDUSTRIA;250 y más empleados;Adquisición de  I+D (I+D externa);25.39
2014;TOTAL INDUSTRIA;Total;Adquisición de  I+D (I+D externa);21.48
2014;TOTAL INDUSTRIA;Menos de 250 empleados;Adquisición de maquinaria, equipos y hardware o software avanzados y edificios;25.42
2014;TOTAL INDUSTRIA;250 y más empleados;Adquisición de maquinaria, equipos y hardware o software avanzados y edificios;13.53
2014;TOTAL INDUSTRIA;Total;Adquisición de maquinaria, equipos y hardware o software avanzados y edificios;17.2
2014;TOTAL INDUSTRIA;Menos de 250 empleados;Adquisición de otros conocimientos externos para innovación;0.46
2014;TOTAL INDUSTRIA;250 y más empleados;Adquisición de otros conocimientos externos para innovación;5.56
2014;TOTAL INDUSTRIA;Total;Adquisición de otros conocimientos externos para innovación;3.98
2014;TOTAL INDUSTRIA;Menos de 250 empleados;Formación para actividades de innovación;0.63
2014;TOTAL INDUSTRIA;250 y más empleados;Formación para actividades de innovación;0.19
2014;TOTAL INDUSTRIA;Total;Formación para actividades de innovación;0.33
2014;TOTAL INDUSTRIA;Menos de 250 empleados;Introducción de innovaciones en el mercado;3.98
2014;TOTAL INDUSTRIA;250 y más empleados;Introducción de innovaciones en el mercado;3.71
2014;TOTAL INDUSTRIA;Total;Introducción de innovaciones en el mercado;3.8
2014;TOTAL INDUSTRIA;Menos de 250 empleados;Diseño, otros preparativos para producción y/o distribución;2.46
2014;TOTAL INDUSTRIA;250 y más empleados;Diseño, otros preparativos para producción y/o distribución;2.13
2014;TOTAL INDUSTRIA;Total;Diseño, otros preparativos para producción y/o distribución;2.23
